@relation 'AT: Behavior-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute 0.432Q7+0.429Q6+0.428Q5+0.398Q4-0.245Q2... numeric
@attribute 0.466Q3-0.41Q9+0.399Q1-0.398Q10+0.392Q2... numeric
@attribute '0.604Q4+0.44 Q2-0.339Q10-0.321Q7-0.315Q3...' numeric
@attribute Class {Party1,Party2,Party3,Left,Center,Right,MrBrown}

@data
-1.959301,1.60533,-1.027131,Party1
3.011897,0.933833,0.016486,Party2
-1.115702,-3.506722,-0.640188,Party3
0.025901,2.739412,-0.700259,Left
-1.405879,1.788102,1.03825,Left
-1.020265,2.158347,-0.360806,Left
-0.849075,1.505907,-1.019304,Left
-1.381122,1.098765,1.509245,Left
-2.759249,1.89082,0.224093,Left
-1.784661,1.210284,1.22807,Left
-1.596254,1.722767,-0.526696,Left
-0.540302,2.011299,1.206875,Left
-0.930037,1.980104,-1.268596,Left
-0.725915,2.317342,0.637749,Left
-1.932728,1.693922,0.342895,Left
-1.401475,1.631063,0.145005,Left
-0.973586,2.131308,0.508018,Left
-0.185558,1.769436,0.531991,Left
-1.066174,2.295578,-1.276905,Left
-1.751357,2.370995,-0.6198,Left
-1.494094,2.200769,1.00415,Left
-2.662103,1.377025,0.319171,Left
-1.875024,1.628488,-0.319667,Left
-0.698551,2.017442,-0.265771,Left
1.890787,0.039321,0.403915,Center
2.384165,0.227451,0.18619,Center
3.147224,1.232208,-0.025953,Center
2.378625,-0.29389,1.055427,Center
2.542779,-1.253453,0.270213,Center
2.581111,1.516177,0.740781,Center
2.496791,0.052157,-0.8979,Center
2.651344,-0.340591,0.500595,Center
2.695212,-1.746406,1.174005,Center
2.350256,-0.396139,-0.033137,Center
2.896209,1.003252,-0.331375,Center
2.848174,0.003993,0.468694,Center
2.882788,0.059095,0.579107,Center
2.925288,0.260294,-0.876387,Center
2.299707,0.519024,-0.775928,Center
3.764585,0.706453,-0.741973,Center
3.205926,-1.188154,-0.454859,Center
3.059599,-1.346095,-0.068475,Center
2.031768,-0.626991,0.862114,Center
2.401011,0.743794,-0.108495,Center
0.365416,-2.452482,-0.627159,Right
-1.884182,-1.134435,0.256268,Right
-1.803672,-1.740252,-0.93598,Right
-1.495671,-2.443537,0.616853,Right
-0.991288,-2.535544,-1.360741,Right
-0.842392,-1.436337,-0.498686,Right
0.535455,-2.865362,-1.022695,Right
-1.876338,-1.605672,1.772017,Right
-0.779324,-2.224518,0.965257,Right
-1.699167,-1.094043,-1.245114,Right
-0.444263,-2.146272,0.195867,Right
-1.934716,-1.921922,1.226191,Right
-0.875795,-1.953105,0.989965,Right
-1.578557,-2.580293,-0.338279,Right
-2.273079,-2.291204,-0.086233,Right
-1.473152,-2.142533,0.734371,Right
-2.393628,-1.387425,0.132749,Right
-1.483462,-2.24075,-0.810622,Right
-1.304703,-1.559427,-0.295908,Right
-1.764491,-1.327621,-0.829014,Right
-0.365723,1.339616,-1.452541,MrBrown
