"PRODUCT_ID";"BRAND_NAME";"PRODUCT_NAME";"PRODUCT_SUBCATEGORY";"PRODUCT_CATEGORY";"PRODUCT_DEPARTMENT";"PRODUCT_FAMILY"
1;"Washington";"Washington Berry Juice";"Juice";"Pure Juice Beverages";"Beverages";"Drink"
2;"Washington";"Washington Mango Drink";"Flavored Drinks";"Drinks";"Beverages";"Drink"
3;"Washington";"Washington Strawberry Drink";"Flavored Drinks";"Drinks";"Beverages";"Drink"
4;"Washington";"Washington Cream Soda";"Soda";"Carbonated Beverages";"Beverages";"Drink"
5;"Washington";"Washington Diet Soda";"Soda";"Carbonated Beverages";"Beverages";"Drink"
6;"Washington";"Washington Cola";"Soda";"Carbonated Beverages";"Beverages";"Drink"
7;"Washington";"Washington Diet Cola";"Soda";"Carbonated Beverages";"Beverages";"Drink"
8;"Washington";"Washington Orange Juice";"Juice";"Pure Juice Beverages";"Beverages";"Drink"
9;"Washington";"Washington Cranberry Juice";"Juice";"Pure Juice Beverages";"Beverages";"Drink"
10;"Washington";"Washington Apple Juice";"Juice";"Pure Juice Beverages";"Beverages";"Drink"
11;"Washington";"Washington Apple Drink";"Flavored Drinks";"Drinks";"Beverages";"Drink"
12;"Jeffers";"Jeffers Oatmeal";"Cereal";"Breakfast Foods";"Breakfast Foods";"Food"
13;"Jeffers";"Jeffers Corn Puffs";"Cereal";"Breakfast Foods";"Breakfast Foods";"Food"
14;"Jeffers";"Jeffers Wheat Puffs";"Cereal";"Breakfast Foods";"Breakfast Foods";"Food"
15;"Jeffers";"Jeffers Grits";"Cereal";"Breakfast Foods";"Breakfast Foods";"Food"
16;"Blue Label";"Blue Label Canned Beets";"Canned Vegetables";"Vegetables";"Canned Foods";"Food"
17;"Blue Label";"Blue Label Creamed Corn";"Canned Vegetables";"Vegetables";"Canned Foods";"Food"
18;"Blue Label";"Blue Label Canned String Beans";"Canned Vegetables";"Vegetables";"Canned Foods";"Food"
19;"Blue Label";"Blue Label Chicken Soup";"Soup";"Canned Soup";"Canned Foods";"Food"
20;"Blue Label";"Blue Label Canned Yams";"Canned Vegetables";"Vegetables";"Canned Foods";"Food"
21;"Blue Label";"Blue Label Vegetable Soup";"Soup";"Canned Soup";"Canned Foods";"Food"
22;"Blue Label";"Blue Label Canned Tomatos";"Canned Vegetables";"Vegetables";"Canned Foods";"Food"
23;"Blue Label";"Blue Label Noodle Soup";"Soup";"Canned Soup";"Canned Foods";"Food"
24;"Blue Label";"Blue Label Regular Ramen Soup";"Soup";"Canned Soup";"Canned Foods";"Food"
25;"Blue Label";"Blue Label Chicken Noodle Soup";"Soup";"Canned Soup";"Canned Foods";"Food"
26;"Blue Label";"Blue Label Turkey Noodle Soup";"Soup";"Canned Soup";"Canned Foods";"Food"
27;"Blue Label";"Blue Label Beef Soup";"Soup";"Canned Soup";"Canned Foods";"Food"
28;"Blue Label";"Blue Label Canned Peas";"Canned Vegetables";"Vegetables";"Canned Foods";"Food"
29;"Blue Label";"Blue Label Chicken Ramen Soup";"Soup";"Canned Soup";"Canned Foods";"Food"
30;"Blue Label";"Blue Label Canned Tuna in Water";"Tuna";"Canned Tuna";"Canned Foods";"Food"
31;"Blue Label";"Blue Label Canned Tuna in Oil";"Tuna";"Canned Tuna";"Canned Foods";"Food"
32;"Blue Label";"Blue Label Large Canned Shrimp";"Shrimp";"Canned Shrimp";"Canned Foods";"Food"
33;"Blue Label";"Blue Label Fancy Canned Anchovies";"Anchovies";"Canned Anchovies";"Canned Foods";"Food"
34;"Blue Label";"Blue Label Fancy Canned Clams";"Clams";"Canned Clams";"Canned Foods";"Food"
35;"Blue Label";"Blue Label Fancy Canned Oysters";"Oysters";"Canned Oysters";"Canned Foods";"Food"
36;"Blue Label";"Blue Label Fancy Canned Sardines";"Sardines";"Canned Sardines";"Canned Foods";"Food"
37;"Blue Label";"Blue Label Rice Soup";"Soup";"Canned Soup";"Canned Foods";"Food"
38;"Green Ribbon";"Green Ribbon Canned Mixed Fruit";"Canned Fruit";"Fruit";"Canned Products";"Food"
39;"Green Ribbon";"Green Ribbon Canned Peaches";"Canned Fruit";"Fruit";"Canned Products";"Food"
40;"King";"King Rosy Sunglasses";"Sunglasses";"Specialty";"Carousel";"Non-Consumable"
41;"Queen";"Queen Eyeglass Screwdriver";"Screwdrivers";"Hardware";"Checkout";"Non-Consumable"
42;"Queen";"Queen City Map";"Maps";"Miscellaneous";"Checkout";"Non-Consumable"
