"PROMOTION_ID";"PROMOTION_NAME";"MEDIA_TYPE";"COST";"PSTART_DATE";"PEND_DATE"
532;"Weekend Markdown";"Bulk Mail";14997;"1998-03-10 00:00:00";"1998-03-13 00:00:00"
533;"Shelf Clearing Days";"Sunday Paper, Radio, TV";10196;"1998-03-24 00:00:00";"1998-03-27 00:00:00"
534;"Mystery Sale";"Daily Paper, Radio";6884;"1998-04-07 00:00:00";"1998-04-10 00:00:00"
535;"Mystery Sale";"Street Handout";8527;"1998-04-22 00:00:00";"1998-04-23 00:00:00"
536;"Bye Bye Baby";"Daily Paper, Radio, TV";5816;"1998-05-06 00:00:00";"1998-05-09 00:00:00"
537;"Big Time Discounts";"Daily Paper, Radio, TV";14641;"1998-05-21 00:00:00";"1998-05-23 00:00:00"
538;"Saving Days";"Sunday Paper, Radio, TV";6711;"1998-06-04 00:00:00";"1998-06-05 00:00:00"
539;"High Roller Savings";"Sunday Paper, Radio, TV";9555;"1998-06-17 00:00:00";"1998-06-19 00:00:00"
540;"Mystery Sale";"Cash Register Handout";8553;"1998-07-02 00:00:00";"1998-07-04 00:00:00"
541;"Price Winners";"Sunday Paper, Radio";12251;"1998-07-17 00:00:00";"1998-07-18 00:00:00"
542;"Green Light Special";"Street Handout";12358;"1998-07-31 00:00:00";"1998-08-01 00:00:00"
543;"Fantastic Discounts";"Radio";13746;"1998-08-12 00:00:00";"1998-08-14 00:00:00"
544;"Saving Days";"Product Attachment";8326;"1998-08-28 00:00:00";"1998-08-29 00:00:00"
545;"Two for One";"Daily Paper";6897;"1998-09-11 00:00:00";"1998-09-14 00:00:00"
546;"Unbeatable Price Savers";"Product Attachment";12385;"1998-09-24 00:00:00";"1998-09-25 00:00:00"
547;"Two Day Sale";"Daily Paper, Radio";14975;"1998-10-07 00:00:00";"1998-10-10 00:00:00"
548;"Sale Winners";"In-Store Coupon";14735;"1998-10-20 00:00:00";"1998-10-22 00:00:00"
549;"Save-It Sale";"Daily Paper";8179;"1998-11-05 00:00:00";"1998-11-09 00:00:00"
550;"Big Promo";"Sunday Paper, Radio, TV";11704;"1998-11-18 00:00:00";"1998-11-21 00:00:00"
551;"I Cant Believe It Sale";"Daily Paper, Radio";12838;"1998-12-01 00:00:00";"1998-12-05 00:00:00"
552;"Best Savings";"Cash Register Handout";14308;"1998-12-15 00:00:00";"1998-12-16 00:00:00"
553;"Big Time Savings";"In-Store Coupon";12625;"1998-12-30 00:00:00";"1999-01-02 00:00:00"
555;"Dimes Off";"Radio";12457;"1996-01-17 00:00:00";"1996-01-18 00:00:00"
556;"Shelf Clearing Days";"Street Handout";8291;"1996-02-01 00:00:00";"1996-02-04 00:00:00"
557;"Price Savers";"Sunday Paper";8825;"1996-02-15 00:00:00";"1996-02-18 00:00:00"
558;"Super Savers";"Street Handout";5768;"1996-02-28 00:00:00";"1996-03-01 00:00:00"
559;"Money Savers";"Daily Paper, Radio";6648;"1996-03-13 00:00:00";"1996-03-16 00:00:00"
560;"I Cant Believe It Sale";"Cash Register Handout";14192;"1996-03-27 00:00:00";"1996-03-28 00:00:00"
561;"Sales Days";"Cash Register Handout";9599;"1996-04-12 00:00:00";"1996-04-14 00:00:00"
562;"Price Cutters";"Sunday Paper";11923;"1996-04-24 00:00:00";"1996-04-27 00:00:00"
563;"Two Day Sale";"Daily Paper";11348;"1996-05-09 00:00:00";"1996-05-10 00:00:00"
564;"Go For It";"TV";14666;"1996-05-22 00:00:00";"1996-05-25 00:00:00"
565;"Price Winners";"Sunday Paper";14946;"1996-06-07 00:00:00";"1996-06-09 00:00:00"
566;"Unbeatable Price Savers";"In-Store Coupon";5307;"1996-06-19 00:00:00";"1996-06-21 00:00:00"
567;"Green Light Special";"Product Attachment";13277;"1996-07-02 00:00:00";"1996-07-04 00:00:00"
568;"Green Light Special";"Product Attachment";14238;"1996-07-18 00:00:00";"1996-07-20 00:00:00"
569;"Savings Galore";"Daily Paper";6736;"1996-08-01 00:00:00";"1996-08-04 00:00:00"
570;"Price Cutters";"Daily Paper";5133;"1996-08-13 00:00:00";"1996-08-17 00:00:00"
571;"Shelf Emptiers";"Sunday Paper, Radio";14305;"1996-08-27 00:00:00";"1996-08-29 00:00:00"
572;"Unbeatable Price Savers";"Sunday Paper, Radio, TV";6975;"1996-09-10 00:00:00";"1996-09-11 00:00:00"
573;"Unbeatable Price Savers";"Cash Register Handout";14345;"1996-09-26 00:00:00";"1996-09-28 00:00:00"
574;"Double Down Sale";"Sunday Paper, Radio, TV";8124;"1996-10-08 00:00:00";"1996-10-12 00:00:00"
575;"Double Your Savings";"Product Attachment";7087;"1996-10-23 00:00:00";"1996-10-27 00:00:00"
576;"Save-It Sale";"Product Attachment";11466;"1996-11-08 00:00:00";"1996-11-10 00:00:00"
577;"Dollar Cutters";"Cash Register Handout";13709;"1996-11-20 00:00:00";"1996-11-22 00:00:00"
578;"Big Time Discounts";"Daily Paper, Radio";5525;"1996-12-04 00:00:00";"1996-12-06 00:00:00"
579;"Tip Top Savings";"Product Attachment";11787;"1996-12-19 00:00:00";"1996-12-22 00:00:00"
580;"Money Savers";"Daily Paper, Radio, TV";7875;"1997-01-02 00:00:00";"1997-01-05 00:00:00"
581;"Best Savings";"In-Store Coupon";14991;"1997-01-16 00:00:00";"1997-01-20 00:00:00"
582;"Price Cutters";"Radio";14844;"1997-01-28 00:00:00";"1997-02-01 00:00:00"
583;"Super Duper Savers";"Cash Register Handout";9650;"1997-02-12 00:00:00";"1997-02-15 00:00:00"
584;"Free For All";"Daily Paper";7448;"1997-02-27 00:00:00";"1997-03-01 00:00:00"
585;"Price Smashers";"Bulk Mail";5995;"1997-03-11 00:00:00";"1997-03-15 00:00:00"
586;"Price Slashers";"Bulk Mail";11229;"1997-03-26 00:00:00";"1997-03-28 00:00:00"
