"PRODUCT_ID";"TIME_ID";"CUSTOMER_ID";"PROMOTION_ID";"STORE_ID";"STORE_SALES";"STORE_COST";"UNIT_SALES"
1;369;4728;501;7;11,4;3,99;4
1;377;9788;1547;13;8,55;4,0185;3
1;414;6666;34;17;8,55;4,1895;3
1;440;5313;413;24;8,55;3,762;3
1;463;916;302;7;11,4;4,902;4
1;474;4461;1839;11;8,55;2,9925;3
1;489;1312;162;3;8,55;3,6765;3
1;500;9169;1435;23;11,4;5,358;4
1;529;5607;501;6;11,4;4,902;4
1;534;456;828;15;11,4;4,332;4
1;570;923;30;15;8,55;2,736;3
1;574;9358;1097;15;8,55;4,275;3
1;576;7704;486;3;5,7;2,508;2
1;590;3441;131;3;8,55;3,42;3
1;594;6248;1860;24;11,4;3,876;4
1;596;5929;496;15;14,25;5,5575;5
1;616;1565;116;24;8,55;4,1895;3
1;617;638;1038;11;8,55;2,9925;3
1;628;9652;224;14;5,7;1,881;2
1;629;10140;1479;17;8,55;2,9925;3
1;645;3528;1254;17;8,55;3,8475;3
1;681;3065;1250;3;5,7;2,508;2
1;698;2270;740;11;8,55;4,0185;3
1;720;157;1869;24;8,55;2,9925;3
1;722;4707;1544;11;8,55;4,0185;3
1;727;8202;229;3;8,55;4,104;3
2;371;5009;1123;7;2,96;1,2432;4
2;377;1773;1142;13;1,48;0,666;2
2;377;3458;613;24;2,22;0,6882;3
2;379;878;1570;3;2,22;0,9546;3
2;394;3211;1056;2;0,74;0,296;1
2;395;3000;1293;17;2,22;0,777;3
2;400;4508;1732;13;2,22;0,777;3
2;400;6956;966;13;1,48;0,7252;2
2;401;4575;1362;15;3,7;1,739;5
2;412;9357;504;7;2,22;1,0878;3
2;423;7149;313;13;1,48;0,4736;2
2;430;1696;707;22;1,48;0,6216;2
2;443;2211;1306;17;3,7;1,258;5
2;459;3000;499;17;2,22;0,7326;3
2;461;8306;1161;24;2,22;0,7548;3
2;469;5635;508;6;2,22;0,9768;3
2;478;8526;1652;11;1,48;0,592;2
2;480;663;1220;16;2,22;0,777;3
2;488;430;411;16;2,96;1,3616;4
2;503;1399;1198;24;3,7;1,184;5
2;523;9788;986;13;2,22;1,0434;3
2;529;7035;1401;7;1,48;0,592;2
2;538;5398;1303;17;2,96;1,3912;4
2;539;878;1554;3;1,48;0,4736;2
2;539;4990;1145;7;2,96;1,3024;4
2;551;9263;1225;16;2,22;0,7104;3
2;557;6836;1840;7;2,96;1,1248;4
2;567;7780;1681;13;2,22;0,7548;3
2;574;3759;183;13;2,22;1,0212;3
2;580;6978;1859;24;2,22;1,0878;3
2;581;2769;1583;16;2,22;1,0434;3
2;585;8768;324;11;2,22;0,7326;3
2;594;5374;1228;16;2,22;0,7104;3
2;601;5104;701;24;2,22;0,8658;3
2;615;5763;257;24;2,96;1,48;4
2;628;5887;772;7;2,96;0,9176;4
2;636;1485;1152;15;2,22;1,0878;3
2;638;6712;1001;16;2,22;0,8658;3
2;641;1209;625;24;2,96;1,332;4
2;646;4926;521;6;1,48;0,7252;2
2;647;8324;387;24;1,48;0,666;2
2;648;5259;521;7;2,96;0,9176;4
2;649;3596;837;11;2,22;0,7326;3
2;652;9591;373;7;1,48;0,5328;2
2;652;10020;837;11;2,96;1,1544;4
2;655;650;181;11;2,96;1,332;4
2;655;7897;1467;15;1,48;0,4736;2
2;658;5161;1496;6;2,96;0,9768;4
2;671;2278;296;7;1,48;0,518;2
2;676;8571;207;3;2,96;0,9768;4
2;677;6974;776;2;0,74;0,2294;1
2;685;4185;321;24;2,22;1,11;3
2;705;1415;1236;16;2,96;1,036;4
2;709;647;1395;3;2,22;0,7548;3
2;717;6105;1545;23;1,48;0,5772;2
2;718;9668;1653;13;2,22;0,7548;3
3;371;8687;769;23;1,66;0,5146;2
3;373;6163;854;13;1,66;0,6474;2
3;379;4727;1237;16;3,32;1,494;4
3;379;9006;1840;17;1,66;0,664;2
3;383;720;1845;24;3,32;1,4276;4
3;386;7179;979;11;2,49;1,1703;3
3;400;161;1846;24;1,66;0,6142;2
3;428;1387;821;11;2,49;0,7968;3
3;439;3541;1138;15;2,49;1,1952;3
3;440;3321;1860;24;3,32;1,494;4
3;446;4518;1894;13;3,32;1,328;4
3;446;8659;925;13;2,49;1,1454;3
3;447;6388;437;11;3,32;1,0292;4
